Term: 	 DF 	 [DOCID, TF, Max_TF, DocLen] 
0012:	1	[[662, 2, 9, 251]]
0014:	1	[[996, 1, 12, 211]]
002:	4	[[548, 1, 13, 227], [597, 1, 3, 71], [748, 2, 7, 124], [912, 1, 5, 118]]
002025:	1	[[1127, 1, 6, 143]]
0025:	1	[[614, 1, 5, 146]]
003:	1	[[946, 1, 13, 249]]
004:	1	[[748, 2, 7, 124]]
005:	5	[[189, 1, 12, 264], [197, 1, 12, 206], [662, 1, 9, 251], [748, 1, 7, 124], [972, 1, 7, 140]]
00519:	1	[[1345, 1, 4, 101]]
006:	1	[[1136, 1, 5, 126]]
0066:	1	[[1127, 1, 6, 143]]
008:	1	[[1136, 1, 5, 126]]
00904:	1	[[325, 2, 5, 163]]
01:	9	[[240, 1, 11, 171], [315, 1, 12, 343], [478, 2, 3, 60], [606, 1, 5, 112], [679, 1, 5, 131], [776, 1, 3, 58], [808, 1, 5, 132], [809, 1, 4, 100], [1356, 1, 10, 215]]
010:	4	[[189, 1, 12, 264], [662, 1, 9, 251], [748, 1, 7, 124], [1136, 1, 5, 126]]
011:	1	[[165, 1, 12, 296]]
0117:	1	[[800, 1, 6, 117]]
012:	3	[[597, 1, 3, 71], [690, 1, 4, 82], [1136, 1, 5, 126]]
0120:	1	[[800, 1, 6, 117]]
013:	1	[[996, 1, 12, 211]]
014:	1	[[1136, 1, 5, 126]]
01428:	1	[[1307, 1, 8, 203]]
014x10:	1	[[689, 1, 11, 192]]
015:	2	[[572, 1, 7, 302], [928, 1, 8, 290]]
015x106:	1	[[993, 1, 10, 166]]
016:	1	[[1136, 1, 5, 126]]
0165:	1	[[1345, 1, 4, 101]]
018:	1	[[996, 1, 12, 211]]
0182er:	1	[[742, 1, 6, 81]]
01875:	1	[[176, 1, 8, 77]]
019:	1	[[674, 1, 4, 94]]
0195etr:	1	[[741, 1, 4, 69]]
0199:	1	[[479, 1, 5, 116]]
02:	15	[[144, 1, 6, 100], [158, 1, 10, 105], [173, 1, 12, 220], [185, 1, 9, 218], [189, 2, 12, 264], [218, 1, 7, 180], [234, 2, 11, 232], [413, 1, 4, 110], [615, 2, 4, 72], [687, 1, 3, 73], [748, 4, 7, 124], [755, 1, 5, 101], [861, 2, 5, 88], [1004, 1, 4, 101], [1188, 1, 6, 145]]
021:	1	[[857, 1, 14, 162]]
0211:	1	[[800, 1, 6, 117]]
022:	1	[[536, 1, 8, 215]]
025:	1	[[1226, 1, 8, 184]]
0254:	1	[[325, 1, 5, 163]]
0262:	1	[[529, 1, 8, 198]]
03:	8	[[89, 1, 9, 274], [125, 1, 9, 156], [129, 1, 11, 176], [432, 1, 13, 160], [522, 1, 9, 268], [959, 1, 7, 141], [1218, 1, 6, 202], [1354, 1, 5, 116]]
030:	1	[[759, 1, 6, 152]]
032:	1	[[165, 1, 12, 296]]
033:	1	[[685, 1, 10, 234]]
035:	3	[[53, 1, 11, 159], [812, 1, 6, 132], [1115, 2, 7, 135]]
036:	1	[[434, 1, 7, 168]]
0367:	1	[[325, 1, 5, 163]]
0368:	1	[[1204, 1, 6, 224]]
038:	1	[[571, 1, 8, 166]]
04:	9	[[40, 1, 5, 138], [187, 1, 10, 204], [234, 1, 11, 232], [421, 1, 5, 121], [423, 1, 10, 228], [1004, 1, 4, 101], [1039, 1, 9, 194], [1336, 1, 7, 137], [1381, 1, 12, 215]]
040:	3	[[9, 1, 9, 244], [674, 1, 4, 94], [711, 1, 5, 106]]
042:	1	[[685, 1, 10, 234]]
043:	1	[[662, 1, 9, 251]]
044:	1	[[857, 1, 14, 162]]
045:	2	[[109, 1, 6, 119], [791, 1, 3, 69]]
046:	1	[[9, 1, 9, 244]]
05:	11	[[57, 1, 6, 125], [63, 1, 4, 115], [98, 1, 3, 58], [247, 1, 7, 130], [274, 1, 6, 175], [478, 1, 3, 60], [702, 4, 7, 119], [748, 2, 7, 124], [857, 1, 14, 162], [972, 1, 7, 140], [1344, 1, 10, 157]]
050:	3	[[74, 1, 3, 65], [205, 1, 9, 205], [748, 1, 7, 124]]
0500:	1	[[558, 2, 6, 90]]
053:	2	[[205, 1, 9, 205], [1229, 1, 9, 220]]
055:	1	[[1223, 1, 5, 80]]
057:	1	[[1349, 1, 8, 152]]
05772euler:	1	[[787, 1, 7, 112]]
058:	1	[[1229, 1, 9, 220]]
06:	16	[[173, 1, 12, 220], [199, 1, 16, 248], [204, 1, 6, 132], [702, 4, 7, 119], [748, 2, 7, 124], [759, 1, 6, 152], [780, 1, 5, 86], [793, 1, 5, 123], [794, 1, 8, 225], [838, 1, 5, 66], [928, 1, 8, 290], [999, 1, 15, 171], [1114, 1, 7, 150], [1136, 1, 5, 126], [1290, 1, 8, 149], [1338, 1, 7, 154]]
060:	4	[[197, 1, 12, 206], [277, 1, 10, 176], [709, 1, 8, 160], [711, 1, 5, 106]]
062:	1	[[1065, 1, 4, 110]]
0635:	1	[[82, 1, 11, 226]]
065:	3	[[212, 1, 10, 259], [662, 1, 9, 251], [1001, 1, 5, 98]]
069:	1	[[857, 1, 14, 162]]
06x10:	1	[[662, 1, 9, 251]]
07:	16	[[125, 1, 9, 156], [206, 2, 7, 187], [218, 1, 7, 180], [312, 1, 4, 73], [565, 1, 5, 156], [661, 2, 8, 149], [685, 2, 10, 234], [691, 1, 4, 85], [701, 2, 12, 188], [702, 2, 7, 119], [748, 4, 7, 124], [800, 1, 6, 117], [962, 1, 9, 283], [1115, 2, 7, 135], [1136, 1, 5, 126], [1259, 1, 7, 121]]
070:	3	[[1066, 1, 11, 255], [1082, 1, 8, 198], [1212, 1, 9, 174]]
0715:	1	[[23, 1, 6, 95]]
072:	1	[[328, 1, 4, 203]]
0725:	1	[[611, 1, 7, 120]]
073:	2	[[962, 1, 9, 283], [1341, 1, 10, 154]]
0737:	1	[[986, 1, 13, 226]]
0741:	1	[[1127, 1, 6, 143]]
075:	4	[[50, 1, 5, 110], [177, 1, 11, 171], [1114, 1, 7, 150], [1226, 1, 8, 184]]
076:	1	[[474, 3, 6, 110]]
08:	12	[[173, 1, 12, 220], [185, 1, 9, 218], [206, 1, 7, 187], [423, 1, 10, 228], [439, 1, 8, 130], [536, 1, 8, 215], [651, 1, 8, 135], [691, 1, 4, 85], [700, 1, 4, 83], [709, 1, 8, 160], [1136, 1, 5, 126], [1338, 2, 7, 154]]
080:	1	[[796, 1, 6, 134]]
0800:	1	[[986, 1, 13, 226]]
0805:	1	[[986, 1, 13, 226]]
0823:	1	[[662, 1, 9, 251]]
0825:	1	[[986, 1, 13, 226]]
083:	1	[[1319, 1, 9, 186]]
084:	1	[[431, 1, 5, 122]]
0840:	1	[[662, 1, 9, 251]]
085:	3	[[205, 2, 9, 205], [466, 1, 6, 149], [1337, 1, 5, 109]]
0854:	1	[[986, 1, 13, 226]]
08a:	1	[[749, 1, 7, 109]]
09:	6	[[232, 1, 11, 174], [691, 1, 4, 85], [1066, 1, 11, 255], [1136, 1, 5, 126], [1154, 1, 10, 179], [1226, 1, 8, 184]]
090:	1	[[198, 1, 13, 208]]
092:	4	[[212, 1, 10, 259], [516, 1, 5, 79], [801, 1, 7, 150], [1204, 1, 6, 224]]
095:	2	[[205, 1, 9, 205], [1066, 1, 11, 255]]
0952:	1	[[212, 1, 10, 259]]
096:	1	[[766, 1, 13, 182]]
098:	1	[[213, 1, 8, 194]]
0degre:	7	[[688, 1, 10, 193], [713, 1, 4, 122], [782, 1, 10, 159], [972, 1, 7, 140], [1075, 1, 10, 156], [1077, 3, 6, 102], [1341, 1, 10, 154]]
1:	221	[[1, 1, 5, 99], [7, 1, 7, 179], [13, 1, 5, 99], [18, 1, 6, 88], [21, 1, 3, 52], [25, 1, 8, 280], [28, 1, 8, 111], [40, 1, 5, 138], [42, 1, 8, 198], [49, 1, 12, 271], [59, 2, 8, 169], [64, 1, 13, 101], [72, 1, 10, 188], [73, 2, 5, 219], [77, 2, 15, 255], [80, 1, 13, 220], [84, 1, 7, 129], [85, 1, 12, 199], [94, 1, 11, 307], [95, 3, 5, 81], [100, 1, 7, 167], [110, 3, 9, 242], [129, 1, 11, 176], [131, 1, 9, 229], [138, 1, 7, 158], [139, 2, 5, 105], [145, 1, 4, 87], [161, 1, 2, 49], [162, 1, 9, 145], [163, 1, 10, 281], [165, 2, 12, 296], [171, 1, 6, 119], [178, 1, 4, 55], [190, 1, 9, 115], [193, 2, 15, 298], [198, 5, 13, 208], [202, 2, 13, 207], [213, 3, 8, 194], [218, 1, 7, 180], [225, 2, 15, 264], [234, 1, 11, 232], [236, 1, 6, 116], [239, 1, 9, 121], [247, 2, 7, 130], [252, 2, 8, 188], [270, 1, 8, 149], [271, 1, 2, 36], [272, 1, 19, 345], [282, 1, 10, 182], [293, 1, 6, 107], [294, 1, 11, 202], [295, 1, 6, 92], [300, 1, 8, 178], [312, 1, 4, 73], [315, 1, 12, 343], [322, 1, 2, 47], [325, 1, 5, 163], [334, 1, 9, 173], [338, 1, 6, 121], [341, 1, 7, 149], [344, 1, 11, 284], [345, 1, 5, 107], [347, 1, 4, 96], [354, 1, 5, 95], [362, 1, 2, 65], [373, 2, 11, 230], [376, 1, 4, 69], [381, 2, 9, 168], [386, 1, 4, 68], [401, 1, 9, 234], [414, 1, 6, 128], [417, 1, 9, 310], [422, 2, 3, 88], [427, 1, 18, 173], [431, 1, 5, 122], [450, 1, 4, 59], [452, 2, 7, 214], [457, 1, 5, 99], [458, 2, 9, 163], [467, 2, 5, 143], [474, 1, 6, 110], [480, 1, 2, 68], [486, 2, 9, 162], [509, 1, 4, 57], [516, 1, 5, 79], [523, 2, 7, 108], [527, 1, 3, 72], [528, 3, 5, 110], [539, 1, 3, 56], [555, 1, 7, 124], [563, 1, 7, 185], [569, 1, 7, 202], [572, 1, 7, 302], [575, 2, 5, 191], [583, 1, 4, 101], [587, 1, 3, 89], [596, 1, 4, 74], [602, 1, 4, 90], [604, 1, 5, 95], [611, 2, 7, 120], [615, 3, 4, 72], [620, 2, 7, 186], [634, 1, 4, 107], [654, 3, 3, 77], [660, 1, 14, 195], [661, 1, 8, 149], [668, 1, 5, 82], [674, 1, 4, 94], [695, 1, 23, 257], [696, 1, 11, 216], [704, 2, 7, 231], [705, 1, 9, 148], [710, 1, 18, 193], [721, 1, 15, 373], [744, 1, 5, 96], [749, 1, 7, 109], [757, 1, 14, 233], [759, 1, 6, 152], [766, 1, 13, 182], [771, 1, 3, 76], [780, 1, 5, 86], [785, 1, 6, 110], [793, 2, 5, 123], [794, 3, 8, 225], [797, 2, 9, 241], [801, 1, 7, 150], [805, 1, 7, 167], [812, 1, 6, 132], [815, 1, 7, 191], [816, 1, 7, 126], [826, 1, 10, 221], [828, 1, 9, 151], [856, 1, 15, 184], [857, 1, 14, 162], [858, 1, 10, 147], [860, 1, 4, 82], [889, 1, 7, 187], [891, 1, 7, 128], [903, 3, 9, 154], [904, 1, 8, 128], [916, 1, 5, 125], [917, 4, 7, 220], [933, 1, 6, 192], [934, 1, 6, 145], [943, 1, 6, 109], [946, 1, 13, 249], [948, 1, 10, 143], [949, 1, 4, 95], [952, 1, 3, 84], [953, 1, 3, 51], [954, 1, 4, 62], [961, 1, 4, 120], [964, 1, 4, 106], [976, 1, 14, 321], [1004, 1, 4, 101], [1009, 1, 6, 117], [1025, 1, 6, 128], [1028, 1, 9, 131], [1031, 1, 3, 77], [1032, 2, 6, 79], [1038, 1, 3, 61], [1039, 1, 9, 194], [1040, 1, 14, 364], [1047, 1, 11, 260], [1059, 1, 6, 154], [1064, 1, 7, 143], [1065, 1, 4, 110], [1066, 1, 11, 255], [1072, 1, 8, 264], [1074, 1, 5, 134], [1075, 1, 10, 156], [1079, 1, 3, 61], [1082, 1, 8, 198], [1088, 2, 4, 146], [1090, 1, 3, 58], [1098, 2, 5, 122], [1103, 1, 4, 70], [1131, 2, 5, 85], [1136, 1, 5, 126], [1142, 1, 5, 48], [1153, 2, 5, 116], [1166, 3, 11, 161], [1174, 1, 4, 60], [1189, 1, 3, 76], [1190, 1, 3, 86], [1191, 1, 6, 119], [1192, 1, 4, 93], [1193, 1, 7, 100], [1194, 1, 5, 112], [1195, 1, 17, 191], [1196, 1, 5, 80], [1197, 1, 6, 109], [1199, 2, 5, 176], [1201, 3, 19, 364], [1202, 1, 7, 217], [1212, 1, 9, 174], [1251, 1, 9, 135], [1258, 1, 5, 142], [1268, 1, 10, 247], [1279, 1, 4, 108], [1292, 1, 11, 199], [1299, 2, 2, 52], [1301, 1, 6, 120], [1312, 1, 6, 78], [1313, 1, 24, 459], [1320, 3, 4, 144], [1324, 1, 5, 122], [1327, 2, 4, 105], [1333, 1, 6, 171], [1335, 1, 9, 151], [1351, 1, 10, 231], [1352, 1, 11, 164], [1354, 1, 5, 116], [1356, 2, 10, 215], [1362, 1, 4, 106], [1363, 2, 6, 122], [1365, 1, 4, 106], [1372, 1, 6, 137], [1375, 1, 9, 209], [1378, 2, 4, 89], [1382, 1, 10, 210]]
10:	147	[[9, 6, 9, 244], [10, 1, 3, 46], [53, 1, 11, 159], [62, 1, 10, 201], [63, 1, 4, 115], [76, 1, 7, 142], [82, 1, 11, 226], [98, 1, 3, 58], [125, 1, 9, 156], [129, 2, 11, 176], [147, 1, 7, 124], [161, 1, 2, 49], [163, 1, 10, 281], [174, 1, 13, 210], [182, 1, 4, 93], [189, 3, 12, 264], [193, 2, 15, 298], [197, 5, 12, 206], [204, 1, 6, 132], [206, 1, 7, 187], [219, 1, 6, 156], [234, 1, 11, 232], [239, 1, 9, 121], [240, 1, 11, 171], [256, 1, 5, 93], [259, 1, 7, 117], [262, 1, 10, 293], [282, 1, 10, 182], [300, 1, 8, 178], [309, 1, 5, 130], [312, 3, 4, 73], [315, 1, 12, 343], [328, 1, 4, 203], [343, 1, 3, 87], [346, 1, 5, 132], [354, 1, 5, 95], [371, 1, 5, 122], [373, 1, 11, 230], [406, 1, 7, 154], [423, 3, 10, 228], [426, 1, 6, 111], [427, 1, 18, 173], [477, 1, 5, 102], [497, 1, 4, 115], [505, 1, 4, 70], [517, 1, 5, 66], [519, 2, 9, 127], [522, 3, 9, 268], [536, 3, 8, 215], [546, 1, 4, 103], [555, 4, 7, 124], [558, 1, 6, 90], [564, 2, 10, 195], [565, 1, 5, 156], [571, 1, 8, 166], [572, 1, 7, 302], [576, 1, 13, 324], [593, 1, 9, 142], [604, 1, 5, 95], [614, 1, 5, 146], [622, 1, 8, 168], [631, 1, 3, 60], [635, 1, 9, 144], [636, 2, 11, 181], [638, 1, 8, 166], [646, 2, 7, 193], [652, 1, 4, 62], [659, 1, 6, 95], [671, 1, 6, 104], [673, 1, 27, 276], [679, 1, 5, 131], [686, 3, 7, 173], [690, 2, 4, 82], [691, 3, 4, 85], [694, 1, 7, 138], [696, 1, 11, 216], [697, 1, 11, 131], [700, 1, 4, 83], [709, 2, 8, 160], [710, 1, 18, 193], [713, 1, 4, 122], [717, 2, 10, 256], [759, 2, 6, 152], [773, 2, 8, 224], [776, 2, 3, 58], [793, 1, 5, 123], [794, 1, 8, 225], [796, 1, 6, 134], [808, 1, 5, 132], [812, 2, 6, 132], [814, 1, 6, 149], [815, 2, 7, 191], [816, 1, 7, 126], [858, 2, 10, 147], [859, 2, 15, 199], [861, 3, 5, 88], [909, 1, 3, 54], [912, 1, 5, 118], [923, 1, 6, 115], [924, 1, 11, 149], [929, 1, 5, 111], [947, 2, 11, 229], [949, 1, 4, 95], [959, 2, 7, 141], [964, 1, 4, 106], [970, 1, 8, 141], [972, 1, 7, 140], [975, 2, 5, 138], [976, 2, 14, 321], [992, 2, 14, 231], [999, 2, 15, 171], [1000, 1, 4, 150], [1010, 1, 7, 110], [1011, 2, 3, 46], [1019, 1, 10, 166], [1062, 1, 5, 79], [1080, 1, 4, 91], [1095, 4, 9, 145], [1115, 1, 7, 135], [1136, 1, 5, 126], [1143, 1, 5, 92], [1152, 1, 3, 39], [1156, 1, 10, 138], [1159, 1, 6, 96], [1164, 1, 7, 184], [1167, 2, 5, 143], [1188, 1, 6, 145], [1191, 1, 6, 119], [1195, 1, 17, 191], [1212, 2, 9, 174], [1231, 1, 7, 136], [1239, 1, 19, 289], [1247, 1, 8, 111], [1263, 1, 7, 211], [1270, 2, 4, 103], [1278, 1, 6, 139], [1289, 1, 8, 178], [1303, 1, 8, 145], [1310, 1, 6, 197], [1313, 2, 24, 459], [1335, 1, 9, 151], [1338, 3, 7, 154], [1344, 1, 10, 157], [1349, 1, 8, 152], [1378, 1, 4, 89], [1381, 1, 12, 215], [1391, 1, 8, 153]]
100:	31	[[58, 1, 6, 133], [82, 1, 11, 226], [85, 1, 12, 199], [100, 1, 7, 167], [156, 1, 10, 181], [161, 1, 2, 49], [239, 1, 9, 121], [302, 1, 7, 98], [463, 1, 3, 79], [497, 1, 4, 115], [564, 1, 10, 195], [603, 1, 7, 147], [607, 1, 2, 38], [646, 1, 7, 193], [721, 1, 15, 373], [773, 1, 8, 224], [804, 1, 6, 120], [881, 1, 4, 110], [923, 1, 6, 115], [953, 1, 3, 51], [976, 3, 14, 321], [1025, 1, 6, 128], [1066, 1, 11, 255], [1102, 1, 3, 50], [1114, 1, 7, 150], [1156, 1, 10, 138], [1159, 1, 6, 96], [1173, 2, 5, 124], [1230, 1, 6, 137], [1258, 1, 5, 142], [1341, 1, 10, 154]]
1000:	4	[[139, 1, 5, 105], [721, 1, 15, 373], [1000, 1, 4, 150], [1230, 1, 6, 137]]
1001:	1	[[1001, 1, 5, 98]]
1002:	2	[[847, 1, 3, 74], [1002, 1, 5, 134]]
1003:	1	[[1003, 1, 5, 111]]
1004:	2	[[491, 1, 5, 91], [1004, 1, 4, 101]]
1005:	1	[[1005, 1, 3, 84]]
1006:	2	[[653, 1, 5, 99], [1006, 1, 3, 64]]
1007:	1	[[1007, 1, 5, 110]]
1008:	3	[[127, 1, 5, 97], [1008, 1, 6, 56], [1091, 1, 5, 91]]
1009:	2	[[623, 1, 7, 149], [1009, 1, 6, 117]]
100degre:	1	[[711, 1, 5, 106]]
100x10:	1	[[413, 1, 4, 110]]
101:	3	[[101, 1, 8, 238], [671, 1, 6, 104], [675, 2, 7, 203]]
1010:	1	[[1010, 1, 7, 110]]
1011:	1	[[1011, 1, 3, 46]]
1012:	1	[[1012, 1, 4, 102]]
1013:	1	[[1013, 1, 6, 88]]
1014:	2	[[534, 1, 3, 63], [1014, 1, 3, 38]]
1015:	1	[[1015, 1, 7, 97]]
1016:	2	[[994, 1, 8, 132], [1016, 1, 3, 55]]
1017:	1	[[1017, 1, 7, 108]]
1018:	1	[[1018, 1, 6, 90]]
1019:	2	[[31, 1, 3, 33], [1019, 1, 10, 166]]
101957:	1	[[20, 1, 7, 125]]
102:	1	[[102, 1, 4, 61]]
1020:	1	[[1020, 1, 4, 88]]
1021:	1	[[1021, 1, 3, 46]]
1022:	1	[[1022, 1, 3, 51]]
1023:	1	[[1023, 1, 3, 39]]
1024:	2	[[525, 1, 4, 87], [1024, 1, 7, 128]]
1025:	1	[[1025, 1, 6, 128]]
1026:	1	[[1026, 1, 4, 34]]
1027:	2	[[1027, 1, 4, 72], [1103, 1, 4, 70]]
1028:	1	[[1028, 1, 9, 131]]
1029:	1	[[1029, 1, 3, 42]]
103:	5	[[103, 1, 3, 91], [434, 1, 7, 168], [709, 1, 8, 160], [909, 1, 3, 54], [946, 1, 13, 249]]
1030:	1	[[1030, 1, 4, 32]]
1031:	1	[[1031, 1, 3, 77]]
1032:	1	[[1032, 1, 6, 79]]
1033:	1	[[1033, 1, 6, 71]]
1034:	2	[[1034, 1, 8, 129], [1179, 1, 6, 156]]
1035:	1	[[1035, 1, 12, 178]]
1036:	1	[[1036, 1, 4, 82]]
1037:	1	[[1037, 1, 3, 58]]
1038:	1	[[1038, 1, 3, 61]]
1039:	1	[[1039, 1, 9, 194]]
104:	2	[[104, 1, 5, 87], [1329, 1, 6, 111]]
1040:	1	[[1040, 1, 14, 364]]
1041:	1	[[1041, 1, 6, 99]]
1042:	1	[[1042, 1, 3, 59]]
1043:	1	[[1043, 1, 5, 120]]
1044:	1	[[1044, 1, 7, 90]]
1045:	1	[[1045, 1, 2, 24]]
1046:	1	[[1046, 1, 6, 55]]
1047:	1	[[1047, 1, 11, 260]]
1048:	1	[[1048, 1, 3, 44]]
1049:	1	[[1049, 1, 4, 59]]
105:	6	[[105, 1, 4, 109], [118, 1, 8, 114], [197, 1, 12, 206], [577, 1, 3, 70], [1127, 1, 6, 143], [1179, 1, 6, 156]]
1050:	1	[[1050, 1, 4, 56]]
1051:	2	[[188, 1, 8, 159], [1051, 1, 6, 152]]
1052:	3	[[384, 1, 4, 64], [764, 1, 8, 117], [1052, 1, 6, 77]]
1053:	1	[[1053, 1, 5, 117]]
1054:	2	[[681, 1, 5, 86], [1054, 1, 3, 88]]
1055:	1	[[1055, 1, 4, 94]]
1056:	2	[[1056, 1, 6, 168], [1180, 1, 5, 115]]
1057:	1	[[1057, 1, 7, 106]]
1058:	1	[[1058, 1, 4, 67]]
1059:	1	[[1059, 1, 6, 154]]
106:	2	[[106, 1, 3, 50], [1126, 1, 3, 68]]
1060:	1	[[1060, 1, 2, 52]]
1061:	1	[[1061, 1, 4, 208]]
1062:	1	[[1062, 1, 5, 79]]
1063:	1	[[1063, 1, 5, 61]]
1064:	2	[[423, 1, 10, 228], [1064, 1, 7, 143]]
1065:	1	[[1065, 1, 4, 110]]
1066:	1	[[1066, 1, 11, 255]]
1067:	2	[[1067, 1, 2, 54], [1288, 1, 4, 77]]
1068:	1	[[1068, 1, 5, 101]]
1069:	1	[[1069, 1, 2, 49]]
107:	2	[[107, 1, 4, 65], [991, 1, 12, 176]]
1070:	1	[[1070, 1, 7, 80]]
1071:	1	[[1071, 1, 5, 76]]
1072:	1	[[1072, 1, 8, 264]]
1073:	1	[[1073, 1, 3, 46]]
1074:	1	[[1074, 1, 5, 134]]
1075:	1	[[1075, 1, 10, 156]]
1076:	2	[[1076, 1, 3, 71], [1210, 1, 4, 87]]
1077:	2	[[700, 1, 4, 83], [1077, 1, 6, 102]]
1078:	1	[[1078, 1, 8, 108]]
1079:	1	[[1079, 1, 3, 61]]
108:	3	[[108, 1, 5, 70], [119, 1, 2, 57], [646, 1, 7, 193]]
1080:	1	[[1080, 1, 4, 91]]
1081:	2	[[479, 1, 5, 116], [1081, 1, 6, 88]]
1082:	2	[[984, 1, 7, 93], [1082, 1, 8, 198]]
1083:	1	[[1083, 1, 4, 55]]
1084:	1	[[1084, 1, 3, 44]]
1085:	1	[[1085, 1, 4, 60]]
1086:	1	[[1086, 1, 4, 58]]
1087:	1	[[1087, 1, 7, 94]]
1088:	1	[[1088, 1, 4, 146]]
1089:	1	[[1089, 1, 6, 99]]
109:	6	[[109, 1, 6, 119], [140, 1, 10, 250], [197, 1, 12, 206], [257, 1, 7, 153], [529, 1, 8, 198], [1390, 1, 4, 117]]
1090:	1	[[1090, 1, 3, 58]]
1091:	1	[[1091, 1, 5, 91]]
1092:	1	[[1092, 1, 10, 202]]
1093:	1	[[1093, 1, 5, 78]]
1094:	1	[[1094, 1, 6, 119]]
1095:	1	[[1095, 1, 9, 145]]
1096:	1	[[1096, 1, 3, 78]]
1097:	1	[[1097, 1, 9, 168]]
1098:	1	[[1098, 1, 5, 122]]
1099:	1	[[1099, 1, 4, 54]]
109placement:	1	[[931, 1, 4, 48]]
10degre:	5	[[351, 1, 3, 97], [713, 2, 4, 122], [717, 1, 10, 256], [1001, 2, 5, 98], [1075, 1, 10, 156]]
10g:	1	[[1344, 1, 10, 157]]
10th:	1	[[470, 1, 5, 84]]
